Company,20174,20173,20172,20171,20164,20163,20162,20161,20154,20153,20152,20151,20144,20143,20142,20141,20134,20133,20132,20131,20124,20123,20122,20121,20114,20113,20112,20111,20104,20103,20102,20101,20094,20093,20092,20091,20084,20083,20082,20081,20074,20073,20072,20071,20064,20063,20062,20061,20054,20053
Facebook,0.3291,0.4558,0.4178,0.3815,0.4052,0.3747,0.3547,0.3229,0.2672,0.1991,0.1779,0.1445,0.182,0.2516,,0.2718,0.2566,0.2022,0.2108,0.1837,0.1502,0.0404,-0.0468,-0.1326,0.1938,0.267,0.2379,0.2682,0.3187,,,,,,,,,,,,,,,,,,,,,
Google-India,-0.0934,0.2424,0.1355,0.2192,0.2046,0.2254,0.2268,0.2077,0.2308,0.2131,0.2218,0.2037,0.2582,0.1658,0.21,0.2239,0.203,0.2159,0.2463,0.2584,0.2807,0.1636,0.2359,0.2715,0.2555,0.2808,0.2775,0.2097,0.3013,0.2974,0.2698,0.2886,0.2958,0.2757,0.2689,0.2583,0.0671,0.2328,0.2324,0.252,,,,,,,,,,
Bain and Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Consulting Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevron,0.0827,0.0539,0.0421,0.0802,0.0132,0.0426,-0.0502,-0.0308,-0.0201,0.0594,0.0141,0.0743,0.0753,0.1023,0.0978,0.0847,0.0878,0.0846,0.0935,0.1087,0.1196,0.0905,0.1152,0.1066,0.0854,0.1215,0.1121,0.1029,0.098,0.0758,0.102,0.0945,0.0631,0.0822,0.0434,0.0508,0.1083,0.1001,0.072,0.0784,0.0794,0.0674,0.0959,0.0978,0.079,0.0925,0.0813,0.0732,0.077,0.066
Mckinsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Airlines,0.358,0.0954,0.1299,0.0719,0.1029,0.0755,0.1523,0.1063,0.1077,0.1098,0.119,0.1026,0.0411,0.0685,0.0928,0.0365,0.0479,0.057,0.0482,0.0144,0.0187,0.0037,0.0494,0.0246,0.037,-0.0325,0.0389,0.0016,0.0421,0.0642,0.0354,0.0042,0.0424,-0.006,0.0348,-0.0386,-0.0205,-0.0415,0.1119,0.0134,0.0449,0.0626,0.1076,0.0423,0.025,0.0205,0.136,0.0302,0.0352,0.1056
Slalom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salesforce,0.0192,0.0069,-0.0039,-0.0224,-0.0174,0.1127,0.0202,-0.0141,-0.0147,-0.0005,0.0027,-0.0455,-0.0281,-0.0463,-0.079,-0.1018,-0.1156,0.08,-0.0759,-0.025,-0.2794,-0.0134,-0.028,-0.0065,-0.0064,-0.0078,0.0011,0.0239,0.0491,0.0374,0.0471,0.0576,0.0626,0.0671,0.0605,0.0475,0.0366,0.038,0.0386,0.034,0.0338,0.0212,0.0045,0.0036,0.0026,-0.0012,-0.0022,0.0654,0.1584,0.0701
HEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intuit-India,-0.0192,0.0285,0.3794,0.0128,-0.0386,-0.053,0.4453,0.026,-0.0435,0.0201,0.2347,-0.0881,-0.1373,-0.0643,0.4121,-0.0473,-0.0177,-0.0391,0.3931,0.0803,-0.0338,0.013,0.3811,0.1181,-0.1113,-0.1109,0.3723,0.0831,-0.1316,-0.0894,0.3584,0.1362,-0.1435,-0.1554,0.3423,0.11,-0.1081,0.0195,0.2077,0.0738,-0.0468,-0.0315,0.3224,0.1937,-0.1681,-0.0642,0.3135,0.2464,-0.1506,
Adobe-India,0.25,0.2279,0.2113,0.2369,0.2485,0.185,0.1745,0.1838,0.1705,0.1433,0.1269,0.0765,0.0821,0.0444,0.0829,0.047,0.0627,0.0834,0.0757,0.0646,0.1928,0.1863,0.1991,0.1772,0.1508,0.1926,0.2242,0.2283,0.2667,0.2323,0.1576,0.1481,-0.0423,0.195,0.1789,0.1989,0.2687,0.216,0.2423,0.2464,0.2439,0.241,0.2045,0.2215,0.2686,0.1568,0.1937,0.1603,0.3062,0.2975
Microsoft,0.1172,0.2455,0.2357,0.2042,0.1957,0.1942,0.1969,0.1206,0.1329,0.1383,0.1303,0.211,0.2212,0.2335,0.2542,0.2691,0.2735,0.2817,0.2808,0.2158,0.212,0.2171,0.2303,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infosys,0.2889,0.2041,0.2114,0.2144,0.2083,0.2043,0.2179,0.2177,0.217,0.211,0.2307,0.2353,0.2322,0.226,0.2328,0.2205,0.1854,0.2099,0.2291,0.2271,0.2398,0.2374,0.2614,0.2536,0.2354,0.2298,0.2509,0.2505,0.25,0.2401,0.2693,0.2711,0.2747,0.279,0.2864,0.2835,0.2632,0.2667,0.2723,0.286,0.2652,0.2834,0.3001,0.2655,0.2668,0.2636,0.2563,0.2558,0.2634,0.2563
Morningstar,0.16,0.1475,0.2011,0.0859,0.3313,0.154,0.1604,0.1494,0.185,0.1715,0.1593,0.1565,0.1604,0.1564,-0.0517,0.1457,0.1734,0.1814,0.1774,0.1754,0.1933,0.1682,0.168,0.1253,0.1763,0.1336,0.1645,0.1485,0.1555,0.1765,0.1323,0.1574,0.115,0.1875,0.1719,0.2138,0.1616,0.1768,0.2117,0.184,0.1694,0.1775,0.1666,0.1654,0.1564,0.1656,0.1464,0.1918,0.1662,0.1321
NetApp,0.6179,0.6343,0.6294,0.6165,0.6061,0.6187,0.6159,0.5928,0.6169,0.6118,0.6112,0.6071,0.6299,0.6371,0.63,0.6319,0.6225,0.6228,0.5999,0.6013,0.5919,0.593,0.5885,0.5844,0.5803,0.6058,0.6151,0.6499,0.6562,0.6527,0.6395,0.6388,0.6341,0.6667,0.6236,0.6069,0.5269,0.5991,0.5947,0.6109,0.6101,0.611,0.6053,0.6066,0.609,0.615,0.6005,0.5968,0.6089,0.6192
